localidad,cp,id_prov_mstr
RINCON DE GASTRE,8503.0,62
RINCONADA,8360.0,62
RIO CHICO,8415.0,62
RIO COLORADO,8138.0,62
RIO SALADO,8134.0,62
RIO VILLEGAS,8401.0,62
RUCU LUAN,8422.0,62
SACO VIEJO,8514.0,62
SALITRAL NEGRO,8363.0,62
PUERTO TIGRE ISLA VICTORIA,8400.0,62
SAN ANTONIO OESTE,8520.0,62
PUERTO SAN ANTONIO ESTE,8521.0,62
PUERTO BLEST,8411.0,62
PICHI LEUFU,8412.0,62
PICHI LEUFU ABAJO,8412.0,62
PICHI LEUFU ARRIBA,8412.0,62
PICHI MAHUIDA,8138.0,62
PILAHUE,8417.0,62
PILCANIYEU,8412.0,62
PILQUINIYEU,8416.0,62
PILQUINIYEU DEL LIMAY,8412.0,62
PLANICIE DE JAGUELITO,8333.0,62
PLAYA BONITA,8400.0,62
PLAYAS DORADAS,8532.0,62
POMONA,8363.0,62
PORTEZUELO,8415.0,62
POZO MORO,8520.0,62
POZO SALADO,8514.0,62
PRAHUANIYEU,8424.0,62
PRIMERA ANGOSTURA,8505.0,62
PUERTO OJO DE AGUA,8409.0,62
PERITO MORENO ESTACION FCGR,8400.0,62
SAN CARLOS DE BARILOCHE,8400.0,62
SAN JORGE,8324.0,62
TRES OJOS DE AGUAS,8416.0,62
TRICACO,8332.0,62
TROMENIYEU,8422.0,62
TTE GRAL EUSTAQUIO FRIAS,8501.0,62
TUNQUELEN,8409.0,62
VACA LAUQUEN,8422.0,62
VALCHETA,8536.0,62
VALLE AZUL,8336.0,62
VALLE DE LOS ALAMOS,8307.0,62
VIEDMA,8500.0,62
VILLA ALBERDI,8336.0,62
VILLA LLANQUIN,8401.0,62
VILLA MANZANO,8308.0,62
VILLA MASCARDI,8401.0,62
VILLA REGINA,8336.0,62
LA GRANJA,8501.0,62
VILLA TURISMO,8430.0,62
TRENETA,8534.0,62
SAN JAVIER,8501.0,62
TRAVESIA CASTRO,8503.0,62
TENIENTE MAZA ESTACION FCGR,8534.0,62
SAN JUAN,8503.0,62
SAN LEON,8138.0,62
SAN PEDRO,8412.0,62
SAN RAMON,8416.0,62
SAN SIMON,8503.0,62
SANTA ELENA,8417.0,62
SANTA GENOVEVA,8363.0,62
SANTA GREGORIA,8364.0,62
SANTA NICOLASA,8364.0,62
SARGENTO VIDAL,8305.0,62
SAUCE BLANCO,8360.0,62
SAUCE BLANCO,8505.0,62
SEGUNDA ANGOSTURA,8501.0,62
SIERRA COLORADA,8534.0,62
SIERRA DE LA VENTANA,8521.0,62
SIERRA GRANDE,8532.0,62
SIERRA PAILEMAN,8521.0,62
TERCERA ZONA,8336.0,62
PERITO MORENO,8416.0,62
SAN LORENZO,8503.0,62
PEÑAS BLANCAS,8307.0,62
LANQUIÑEO,8417.0,62
LAS BAYAS,8412.0,62
LAS MAQUINAS,8520.0,62
LAS MELLIZAS,8417.0,62
